role,account,password,vbsname,vbspwd,privilege,description
普通员工,00100100037,654321,lumin,1234567b,无,工作台"业务"模块无应用数据
客户经理,00100100296,654321,lvyang,654321,预交单、订单搜索、业绩报表,工作台"业务"模块有3个应用：预交单，订单搜索，业绩报表
销售主管,00100100096,654321,zhanghaining,1234567b,订单搜索、业绩报表，工作台"业务"模块有2个应用：订单搜索，业绩报表
门店经理,00100100169,654321,guleibo,1234567b,订单搜索、业绩报表,工作台"业务"模块有2个应用：订单搜索，业绩报表
销售经理,00100100022,654321,changweijian,1234567b,订单搜索、业绩报表,工作台"业务"模块有2个应用：订单搜索，业绩报表
集团管理层-贷前贷后,00100100104,654321,wuchenglin,1234567b,订单搜索、催收、上门订单、上门后置,工作台"业务"模块有4个应用：订单搜索，催收，上门订单，上门后置
移动催收员,00100100020,654321,yangxu01,1234567b,催收,工作台"业务"模块有1个应用：催收
门店副理,00100100014,654321,liujingzhu,1234567b,订单搜索、催收、业绩报表,工作台"业务"模块有3个应用：订单搜索，催收，业绩报表
上门审核员,00100100002,654321,yangfeng02,1234567b,上门订单、上门后置,工作台"业务"模块有2个应用：上门订单，上门后置
电催主管,00100100278,654321,wangyanyun,1234567b,催收,工作台"业务"模块有1个应用：催收
资保负责人,00100100025,654321,yinxuemei,1234567b,催收,工作台"业务"模块有1个应用：催收
集团管理层-贷前,00100100003,654321,chenzhenyu01,1234567b,订单搜索、催收、上门订单、上门后置,工作台"业务"模块有4个应用：订单搜索，催收，上门订单，上门后置
集团管理层-贷前贷后财务,00100100040,654321,zhangjianting,1234567b,订单搜索、催收、上门订单、上门后置,工作台"业务"模块有4个应用：订单搜索，催收，上门订单，上门后置
分部上门房调人员,00100100122,654321,xujianping,1234567b,房调、上门订单、上门后置,工作台"业务"模块有3个应用：房调，上门订单，上门后置
权证专员,00100100046,654321,pengfeng,1234567b,房产押品管理,工作台"业务"模块有1个应用：房产押品管理
